zone,name,floor,Inspection Type
dry1-2,thermal-45,2nd_floor,Thermal Inspection
dry1-2,thermal-46,2nd_floor,Thermal Inspection
dry1-2,gauge-1,2nd_floor,Gauge Inspection
dry1-2,gauge-2,2nd_floor,Gauge Inspection
dry1-2,leakage-24,2nd_floor,Leakage Inspection
dry1-2,thermal-47,2nd_floor,Thermal Inspection
dry1-2,thermal-48,2nd_floor,Thermal Inspection
dry1-2,thermal-49,2nd_floor,Thermal Inspection
dry1-2,leakage-25,2nd_floor,Leakage Inspection
dry1-2,thermal-50,2nd_floor,Thermal Inspection
dry1-2,thermal-51,2nd_floor,Thermal Inspection
dry1-2,thermal-37,1st_floor,Thermal Inspection
dry1-2,leakage-14,1st_floor,Leakage Inspection
dry1-2,thermal-38,1st_floor,Thermal Inspection
dry1-2,leakage-15,1st_floor,Leakage Inspection
dry1-2,vibration-29,1st_floor,Vibration Inspection
dry1-2,vibration-30,1st_floor,Vibration Inspection
dry1-2,vibration-31,1st_floor,Vibration Inspection
dry1-2,vibration-32,1st_floor,Vibration Inspection
dry1-2,leakage-16,1st_floor,Leakage Inspection
dry1-2,thermal-39,1st_floor,Thermal Inspection
dry1-2,thermal-40,1st_floor,Thermal Inspection
dry1-2,leakage-17,1st_floor,Leakage Inspection
dry1-2,vibration-33,1st_floor,Vibration Inspection
dry1-2,thermal-41,1st_floor,Thermal Inspection
dry1-2,leakage-18,1st_floor,Leakage Inspection
dry1-2,leakage-19,1st_floor,Leakage Inspection
dry1-2,asset-11,1st_floor,Asset Inspection
dry1-2,leakage-20,1st_floor,Leakage Inspection
dry1-2,thermal-42,1st_floor,Thermal Inspection
dry1-2,leakage-21,1st_floor,Leakage Inspection
dry1-2,leakage-22,1st_floor,Leakage Inspection
dry1-2,leakage-23,1st_floor,Leakage Inspection
dry1-2,thermal-43,1st_floor,Thermal Inspection
dry1-2,thermal-44,1st_floor,Thermal Inspection
dry_3,leakage-26,1st_floor,Leakage Inspection
dry_3,leakage-27,1st_floor,Leakage Inspection
dry3,leakage-38,2nd_floor,Leakage Inspection
dry3,gauge-8,2nd_floor,Gauge Inspection
dry3,leakage-39,2nd_floor,Leakage Inspection
dry3,gauge-9,2nd_floor,Gauge Inspection
dry3,loto-3,2nd_floor,Asset Inspection
dry3,loto-4,2nd_floor,Asset Inspection
dry3,thermal-56,2nd_floor,Thermal Inspection
dry3,gauge-10,2nd_floor,Gauge Inspection
dry3,leakage-40,2nd_floor,Leakage Inspection
dry_3,leakage-28,1st_floor,Leakage Inspection
dry_3,thermal-52,1st_floor,Thermal Inspection
dry_3,leakage-29,1st_floor,Leakage Inspection
dry_3,thermal-53,1st_floor,Thermal Inspection
dry_3,leakage-30,1st_floor,Leakage Inspection
dry_3,leakage-31,1st_floor,Leakage Inspection
dry_3,leakage-32,1st_floor,Leakage Inspection
dry_3,leakage-33,1st_floor,Leakage Inspection
dry_3,thermal-54,1st_floor,Thermal Inspection
dry_3,gauge-4,1st_floor,Gauge Inspection
dry_3,gauge-5,1st_floor,Gauge Inspection
dry3,loto-1,1st_floor,Asset Inspection
dry3,asset-12,1st_floor,Asset Inspection
dry3,asset-13,1st_floor,Asset Inspection
dry3,leakage-34,1st_floor,Leakage Inspection
dry3,thermal-55,1st_floor,Thermal Inspection
dry3,leakage-35,1st_floor,Leakage Inspection
dry3,gauge-6,1st_floor,Gauge Inspection
dry3,leakage-36,1st_floor,Leakage Inspection
dry3,loto-2,1st_floor,Asset Inspection
dry3,gauge-7,1st_floor,Gauge Inspection
dry3,leakage-37,1st_floor,Leakage Inspection
dry3,asset-14,1st_floor,Asset Inspection
