Zone,Point Name,Floor,Inspection Type
dry1-2,dry-leaked-14,1st_floor,Leakage
dry1-2,dry-thermal-37,1st_floor,Thermal
dry1-2,dry-vibration-29,1st_floor,Vibration
dry1-2,dry-thermal-38,1st_floor,Thermal
dry1-2,dry-leaked-15,1st_floor,Leakage
dry1-2,dry-vibration-30,1st_floor,Vibration
dry1-2,dry-vibration-31,1st_floor,Vibration
dry1-2,dry-leaked-16,1st_floor,Leakage
dry1-2,dry-thermal-39,1st_floor,Thermal
dry1-2,dry-thermal-40,1st_floor,Thermal
dry1-2,dry-leaked-17,1st_floor,Leakage
dry1-2,dry-vibration-32,1st_floor,Vibration
dry1-2,dry-leaked-18,1st_floor,Leakage
dry1-2,dry-vibration-33-low,1st_floor,Vibration
dry1-2,dry-thermal-41,1st_floor,Thermal
dry1-2,dry-leaked-19,1st_floor,Leakage
dry1-2,dry-leaked-20-low,1st_floor,Leakage
dry1-2,dry-leaked-21,1st_floor,Leakage
dry1-2,dry-leaked-22,1st_floor,Leakage
dry1-2,dry-leaked-23,1st_floor,Leakage
dry1-2,dry-vibration-34-low,1st_floor,Vibration
dry1-2,dry-leaked-24-low,1st_floor,Leakage
dry1-2,dry-thermal-42,1st_floor,Thermal
dry3,dry-loto-06,1st_floor,LOTO
dry1-2,dry-vibration-35,1st_floor,Vibration
dry1-2,dry-leaked-25,1st_floor,Leakage
dry1-2,dry-leaked-26,1st_floor,Leakage
dry1-2,dry-thermal-43,1st_floor,Thermal
dry1-2,dry-vibration-36-low,1st_floor,Vibration
dry1-2,dry-vibration-37,1st_floor,Vibration
dry3,dry3-leaked-27,1st_floor,Leakage
dry3,dry3-leaked-28,1st_floor,Leakage
dry3,dry3-leaked-29,1st_floor,Leakage
dry3,dry3-leaked-30,1st_floor,Leakage
dry3,dry3-leaked-31,1st_floor,Leakage
dry3,dry3-vibration-38-low,1st_floor,Vibration
dry3,dry3-thermal-44,1st_floor,Thermal
dry3,dry3-leaked-32,1st_floor,Leakage
dry3,dry3-leaked-33,1st_floor,Leakage
dry3,dry3-leaked-34,1st_floor,Leakage
dry3,dry3-leaked-35,1st_floor,Leakage
dry3,dry3-leaked-36,1st_floor,Leakage
dry3,dry3-gauge-01,1st_floor,Gauge
dry3,dry3-gauge-02,1st_floor,Gauge
dry3,dry3-gauge-03,1st_floor,Gauge
dry3,dry3-loto-07,1st_floor,LOTO
dry3,dry3-asset-11,1st_floor,Asset
dry3,dry3-gauge-04,1st_floor,Gauge
dry3,dry3-vibration-39-low,1st_floor,Vibration
dry3,dry3-thermal-45,1st_floor,Thermal
dry3,dry3-vibration-40-low,1st_floor,Vibration
dry3,dry3-thermal-46,1st_floor,Thermal
dry3,dry3-vibration-41-low,1st_floor,Vibration
dry3,dry3-thermal-47,1st_floor,Thermal
dry3,dry3-loto-08,1st_floor,LOTO
dry3,dry3-loto-09,1st_floor,LOTO
dry3,dry3-loto-10,1st_floor,LOTO
dry3,dry3-loto-11,1st_floor,LOTO
dry3,dry3-leaked-37,1st_floor,Leakage
dry3,dry3-gauge-05,1st_floor,Gauge
dry3,dry3-gauge-06,1st_floor,Gauge
dry3,dry3-gauge-07,1st_floor,Gauge
dry3,dry3-leaked-38,1st_floor,Leakage
dry3,dry3-gauge-08,1st_floor,Gauge
