id,mission_id,inspection_index,action_name,result,files,notification_level,timestamp
1023,332,30,thermal-45,"{'max_temperature': 36.2, 'min_temperature': 35.7}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_30_thermal-45_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_30_thermal-45_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:13:27
1024,332,31,thermal-46,"{'max_temperature': 35.8, 'min_temperature': 35.3}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_31_thermal-46_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_31_thermal-46_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:14:06
1025,332,32,gauge-1,{'detection_status': False},"[{'file_url': '/media/2026-04-24/332/2026-04-24_332_32_gauge-1_preprocessed_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_32_gauge-1_processed_rgb_image.jpg', 'file_type': 'image'}]",critical,2026-04-24 14:14:35
1026,332,33,gauge-2,{'detection_status': False},"[{'file_url': '/media/2026-04-24/332/2026-04-24_332_33_gauge-2_preprocessed_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_33_gauge-2_processed_rgb_image.jpg', 'file_type': 'image'}]",critical,2026-04-24 14:14:56
1027,332,34,leakage-24,{'is_leak': False},"[{'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_spect_video.mp4', 'file_type': 'video'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_sound_wav.wav', 'file_type': 'audio'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_voiceprint_photo.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_spect_photo.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_soundmap_photo.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_soundmap_video.mp4', 'file_type': 'video'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_34_leakage-24_voiceprint_video.mp4', 'file_type': 'video'}]",pass,2026-04-24 14:15:29
1028,332,35,thermal-47,"{'max_temperature': 36.5, 'min_temperature': 36.0}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_35_thermal-47_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_35_thermal-47_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:15:50
1029,332,36,thermal-48,"{'max_temperature': 36.2, 'min_temperature': 35.0}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_36_thermal-48_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_36_thermal-48_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:16:26
1030,332,37,thermal-49,"{'max_temperature': 36.2, 'min_temperature': 35.7}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_37_thermal-49_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_37_thermal-49_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:16:50
1031,332,38,leakage-25,{'is_leak': False},"[{'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_spect_video.mp4', 'file_type': 'video'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_sound_wav.wav', 'file_type': 'audio'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_voiceprint_photo.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_spect_photo.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_soundmap_photo.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_soundmap_video.mp4', 'file_type': 'video'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_38_leakage-25_voiceprint_video.mp4', 'file_type': 'video'}]",pass,2026-04-24 14:17:34
1032,332,40,thermal-51,"{'max_temperature': 39.2, 'min_temperature': 36.4}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_40_thermal-51_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_40_thermal-51_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:18:28
1033,332,51,thermal-37,"{'max_temperature': 43.3, 'min_temperature': 37.7}","[{'file_url': '/media/2026-04-24/332/2026-04-24_332_51_thermal-37_raw_rgb_image.jpg', 'file_type': 'image'}, {'file_url': '/media/2026-04-24/332/2026-04-24_332_51_thermal-37_thermal_map.jpg', 'file_type': 'image'}]",pass,2026-04-24 14:21:18
