x,y,z,yaw,name
0.0495891,-0.473337,0.0088212,0.0197166,Charge0
-1.7380122,-1.4014087,0.023734,3.1327164,P01
-3.6325982,-1.3941252,0.0532825,-1.5414708,P01-1
-8.6615582,-0.5321243,0.1202549,1.6720071,P02
-9.3392744,3.6587396,0.2368373,3.0414155,P03
-14.614888,3.7403204,0.23968196,-3.1248424,P04
-14.614888,3.7403204,0.23968196,-3.1248424,P05
-20.477114,3.6794558,2.6927736,1.5427645,P06
-20.214289,5.2106509,2.7211223,0.012534782,P07
-14.710807,5.0472016,4.742197,0.010159199,P08
-14.707033,5.0290356,4.7508888,0.0053941621,P09
-3.9390597,4.2574053,4.6796918,-1.6088064,P10
-14.996675,5.0398865,4.7637787,-0.0095387008,P11
-20.234863,5.3372679,2.7476351,-0.016029509,P12
-20.33346,3.6268167,2.6722412,3.1114058,P13
-14.770042,3.7221107,0.24344288,3.0942304,P14
-9.3816299,4.0711312,0.24143207,-1.513869,P15
-8.3568068,-0.9205276,0.0813708,-0.0766097,P16
-1.7672091,-1.2893271,0.0046068,-0.013158,P17
-0.3755474,-0.6252856,-0.0074195,-0.0869985,Charge1
