x,y,z,yaw,name
0.2675262,-0.2630389,0.0096601,0.0198496,Home
0.2606163,-0.3927518,0.0117434,1.6411932,Via1
-0.2672129,-0.9621551,0.0155449,-3.0352247,Inspection1_(Thermal)
-1.8144287,-1.1697942,0.0254166,-3.0296822,Inspection2_(Visual Guage)
-3.7888787,-1.3043137,0.0495218,1.5916616,Inspection3_(Acroustic Air leak)
-5.3367319,-0.7586982,0.057202,1.4535443,Inspection3_(Acroustic Mechanic vibration)
-5.9670916,-0.7903286,0.0541371,-3.1077323,Via2
-6.2110748,-0.9259521,0.0838438,2.3931134,Via3
-7.0355401,-0.36908,0.0912795,1.6057262,Inspection5_(Visual Asset check)
-8.685503,-0.2827534,0.1224242,-0.0301464,Inspection6_(Visual Asset check loto)
-6.6236033,-0.88806,0.0745766,-0.1240018,Via4
-3.758204,-1.3921355,0.038053,0.0469943,Via5
-1.601105,-0.9666321,0.0238495,-0.0071483,Via6
0.211656,-1.4539593,0.0045826,0.1377174,Via7
0.2675262,-0.2630389,0.0096601,0.0198496,Home1
