x,y,z,yaw,name
3.0403681,2.1428196,0.0362437,-1.5696535,Home
8.1701784,-0.206802,0.0681192,-1.5168242,node_1
8.1148176,-6.1990447,0.0504108,1.6097611,Inspection1_(Thermal)
7.251205,-8.9955587,0.0155972,0.0011684,Inspection2_(Visual Guage)
6.3523316,-4.49543,0.034264,-2.1215305,Inspection3_(Acroustic Air leak)
-2.2361996,-5.0275321,-0.1614041,1.6742886,Inspection3_(Acroustic Mechanic vibration)
-3.4272032,-4.7692008,-0.0046595,-1.5181146,via
-3.7107229,-10.029841,0.0277132,3.1140339,via
-4.8265734,-9.8855991,0.0578759,0.070431,Inspection5_(Visual Asset check)
-4.9897938,-21.594099,0.1920485,-3.0903819,Inspection6_(Visual Asset check loto)
-5.0779185,-10.980125,0.0681092,1.1580327,via
-2.7053747,-4.913784,-0.0110339,0.0743369,via
4.9787812,-4.5064669,-0.0007803,1.6393315,via
4.6078124,0.58719,0.0060474,1.5819178,via
3.0403681,2.1428196,0.0362437,-1.5696535,Home
