x,y,z,yaw,name
41.8443,-16.1638,-0.2801,-0.0763,ChargeOut
42.040424,-2.4565096,-0.2638025,1.6052006,via-h2-00
42.071,2.8857,-0.181,-3.0646,via-h2-01
35.37291314695466,2.607944956612812,-0.1384768,-3.1348433,via-h2-02
-13.542759,0.7024959,0.2255958,1.5851729,via84
-14.767163,21.561161,0.5049494,-0.1074474,via85
-9.5533056,22.677908,0.4577811,1.6254547,via86
-9.666276,25.107012,0.432479,2.4641094,via87
-18.121056,27.577703,0.5575209,1.5544144,via88
-17.8214,30.151703,0.5907702,0.7118617,via89
-10.862,35.533825,0.5333738,1.468215,via90
-10.053919,42.30043,0.5778924,1.6486552,via91-shuttle01-open
-10.403989,45.437153,0.6244386,1.6041919,via92-shuttle01-close
-8.0908022,48.893063,0.6138956,0.07827895742988168,via93
2.9392517,49.508862,0.5460632,1.4734558,via94
2.9783154,56.953354,0.4911753,1.5904567,via95-shuttle02-open
2.6510377,60.726715,0.4996813,1.5877907,via96-shuttle02-close
1.9946015,70.897369,0.5314655,-3.1017516,via97-shuttle03-open
-4.391118,70.903801,0.4062418,-3.1358483,via98-shuttle03-close
-4.0940075,68.838539,0.3927332,-1.4641359,via99
-3.9819322,63.452221,0.3635726,3.134217,via100
-10.548726,63.189972,0.3637781,-3.1354418,via101
-16.195604,63.071499,0.3743068,-1.5140579,via102
-16.079634,53.389706,0.3949353,0.0032055,via103
-14.295293,53.436035,0.374911,1.0048221,via104
-13.683352,54.368187,0.3935705,0.9163067,dry-leaked-14
-14.003392,54.040833,0.3838986,0.7969406,dry-thermal-37
-15.217067,52.768318,0.4084449,-2.3553998,dry-vibration-29
-15.308228,52.844437,0.4207316,-0.7438679,dry-thermal-38
-15.173702,52.927944,0.4036244,-2.5793097,dry-leaked-15
-15.036955,52.657925,0.4167925,2.1549885,dry-vibration-30
-16.828808,55.665764,0.4302805,-2.6268747,via105
-19.141607,54.273815,0.447907,-1.5648448,via106
-19.044449,53.327171,0.4680993,-1.2068074,dry-vibration-31
-19.060865,53.404507,0.4460327,-1.2044122,dry-leaked-16
-19.193733,53.719162,0.4687924,1.9562103,dry-thermal-39
-19.847895,54.793316,0.5031143,2.4472759,dry-thermal-40
-20.54504,55.234341,0.4502078,-2.7206843,via107
-21.12993,54.850586,0.454597,-1.8561542,dry-leaked-17
-21.12993,54.850586,0.454597,-1.8561542,dry-vibration-32
-21.58606,54.387123,0.4667098,3.0862315,via108
-22.405848,54.659859,0.45826,-3.1394737,via109
-25.472195,54.572968,0.533242,-3.125958,via110-tube
-26.354784,54.766659,0.4284801,-1.5873759,dry-leaked-18
-26.313885,54.790646,0.4308046,-1.3173777,dry-vibration-33-low
-26.256153,54.679367,0.4280077,1.8641832,dry-thermal-41
-26.32608,54.668022,0.5667954,1.1052592,dry-leaked-19
-26.336849,54.666855,0.4283397,1.1040727,dry-leaked-20-low
-27.857998,55.196262,0.4679897,1.5771409,dry-leaked-21
-28.503855,54.963081,0.4549172,-3.1062205,dry-leaked-22
-29.005487,54.002663,0.431294,-0.6731449,dry-leaked-23
-29.015585,54.00927,0.4391469,-0.6730273,dry-vibration-34-low
-28.857677,51.202293,0.4036533,-0.3717459,dry-leaked-24-low
-28.819695,51.58263,0.4205158,-2.8815339,dry-thermal-42
-29.030865,54.588818,0.4496212,1.0660921,via111
-28.921955,54.573765,0.4636385,0.8302897,dry-loto-06
-26.102163,54.703712,0.5209481,-0.0016474,via112
-23.35404,54.589512,0.5091032,0.1014953,via113
-20.161556,54.995094,0.484966,-0.726587,dry-vibration-35
-20.152693,55.009987,0.4944817,-0.7238528,dry-leaked-25
-19.4623,54.8454,0.0,0.0493,via114
-16.3417529076239,54.99497161555462,0.442788,1.5202011,via115
-16.901241,57.483002,0.4572567,-2.5714045,dry-leaked-26
-16.399345,57.687763,0.2963256,-3.0233803,dry-thermal-43
