x,y,z,yaw,name
-16.079634,53.389706,0.3949353,0.0032055,via103
-14.295293,53.436035,0.374911,1.0048221,via104
-13.683352,54.368187,0.3935705,0.9163067,dry-leaked-14
-14.003392,54.040833,0.3838986,0.7969406,dry-thermal-37
-16.3417529076239,54.99497161555462,0.442788,1.5202011,via115
-16.158087,61.640396,0.3764079,-0.0035389,via177-before2nd
-9.1036692,61.894161,3.3290496,0.0011854,via178-2nd
-8.6252041,61.931019,3.3207793,-1.5883256,via179
-8.7491302,60.7444,3.3195457,-2.3929813,via180
-10.363839,59.526821,3.3003087,-2.3962128,via181
-10.656166,59.447514,3.2677872,-2.7252283,via185
-8.9233475,60.435005,3.3151855,-1.8598931,via186
-9.0311089,61.562763,3.2967606,-0.8303546,via187
-9.957777,61.862873,3.2870538,0.0271908,via188-before-1st
-16.20882,61.776878,0.3804214,0.0086832,via189-after
-15.973351,63.00518,0.4095464,0.0535957,via137
