x,y,z,yaw,name
-47.502281,54.547535,0.6932916,-3.0870073,dry3-leaked-35
-47.7908,54.7456,0.0,-3.1169,via123
-50.9405,54.7238,0.0,1.678,via124
-50.355236,57.04031,0.6036368,-3.1043718,dry3-leaked-36
-50.355236,57.04031,0.6036368,-3.1043718,dry3-gauge-01
-50.9598,55.0059,0.0,-1.5471,via125
-50.922508,52.14415,0.7215101,-2.8171096,dry3-gauge-02
-51.0293,51.4248,0.6020672,-3.0681,dry3-gauge-03
-51.184334,51.950603,0.7260295,1.5451295,dry3-loto-07
-51.094307,49.292957,0.6755457,0.0670197,via126
-48.406334,49.637363,0.6251557,0.4968646,via127
-48.390621,50.810825,0.4997007,0.747515,dry3-asset-11
-48.643078,50.208874,0.6761123,1.7056618,dry3-gauge-04
-47.3391,50.5978,0.0,1.5676,via128
-47.509373,53.774029,0.5327042,-2.599443,dry3-vibration-39-low
-47.592503,53.713379,0.5277577,0.5870123,dry3-thermal-45
-47.410858,50.611614,0.4983929,2.7564168,dry3-vibration-40-low
-47.588871,50.725193,0.5071526,-0.4031984,dry3-thermal-46
-46.370831,50.503754,0.4699242,0.688145,dry3-vibration-41-low
-46.383301,50.479351,0.4351881,-2.4154909,dry3-thermal-47
-46.919773,52.242306,0.502795,0.0118126,dry3-loto-08
-47.025887,52.020084,0.6494207,1.8170497,dry3-loto-09
-47.024033,52.016716,0.6518544,1.816812,dry3-loto-10
-46.783798,50.010204,0.6007225,-0.0024708,via129
-43.0264,50.1288,-0.181,0.0216,via130
-42.835239,50.990891,0.6105293,1.6899657,dry3-loto-11
-41.114048,50.776325,0.5937326,-1.465699,dry3-leaked-37
-41.469223,50.484085,0.5486826,-1.8872325,dry3-gauge-05
-41.026943,50.439396,0.5860881,1.6822699,dry3-gauge-06
-37.4696,50.9044,0.5455,-1.9931,dry3-gauge-07
-37.243519,50.813271,0.40877,-0.8434448,dry3-leaked-38
-36.046505,51.168354,0.5337697,1.6660758,dry3-gauge-08
-34.54314,52.033966,0.4841692,1.602856,via131
-34.759293,53.740639,0.3695604,1.6029279,dry3-loto-12
-36.6165,55.3783,0.5443,2.6301,dry3-loto-13
-36.540958,59.614529,0.5078825,1.6401079,via132-h
