x,y,z,yaw,name
10.6654,-183.9962,0.0,1.6284,ChargeOut-final
10.1018,-177.5203,0.0,1.5431,via-c2-00
10.4051,-174.1164,0.0,1.1989,via-c2-01
11.5141,-171.1166,0.0,1.5431,via-c2-02
11.0289,-143.3289,0.0,1.5431,via-c2-02.1
10.3161,-127.819,0.0,1.5431,via-c2-02.2
9.3095,-111.6838,0.0,1.6707,via-c2-03
8.6727,-105.9162,0.0,-3.0376,via-c2-04
-6.0117,-105.6715,0.0,2.274,via-c2-05
-7.0457,-104.2334,0.0,1.6279,via-c2-06
-7.5113,-92.5256,0.0,1.5779,via-c2-07
-8.0443,-69.5611,0.0,1.576,via-c2-08
-7.7571,-66.1873,0.0,0.92585,via-c2-09
-6.7455,-64.3882,0.0,1.521,via-c2-10
-6.5774,-62.136,0.0,0.0636,via-c2-11
4.7218785,-61.335865,-0.289195,1.6388679,via-c2-12
2.1996067,-59.36784,-0.2741717,-1.5814399,asset-15
4.7440104,-57.516346,-0.2876201,3.1277151,leakage-45
4.6187325,-52.791111,-0.3126942,0.0238897,via-279
10.230209,-52.794205,-0.3437955,-0.0255896,via-280
9.6493292,-56.580807,-0.3416575,0.0138018,loto-5
9.8979568,-58.047691,-0.3364432,0.0091164,asset-16
9.3159838,-52.569702,-0.35687,-3.1392739,via-281
4.5216918,-52.591106,-0.3368266,1.5913378,via-282
4.1799684,-42.056477,-0.2854147,-3.1265795,loto-6
3.9773474,-36.07325,-0.2402833,2.2245319,thermal-101
3.5913835,-35.596039,-0.4223761,-0.9689899,vibration-60
6.7476573,-35.888309,-0.3058234,1.6204572,via-c2-14
6.2628541,-22.582365,-0.2111485,3.124197,thermal-102
4.584187,-22.397411,-0.3226543,0.0261602,vibration-61
4.1738868,-21.805744,-0.3299511,-0.8901503,vibration-62
5.2906451,-23.456306,-0.2257503,2.1538,thermal-103
6.3219352,-20.066786,-0.209761,1.5910277,via-283
5.6353641,-12.614644,-0.0878717,-3.0936635,via-284
1.7320435,-15.287038,-0.0995644,-2.4766891,via-285
1.1300076,-16.063881,-0.0947086,-1.544263,thermal-104
1.2167327,-18.870598,-0.2239385,-2.1673517,vibration-63
0.6710002,-20.314764,-0.0873861,-2.0751214,thermal-105
0.943783,-28.861935,-0.1465304,-1.5975575,via-286
0.8375694,-29.976145,-0.1140655,-2.4042368,thermal-106
0.528507,-29.810957,-0.1191134,0.7834036,vibration-64
0.9910347,-28.612442,-0.1687512,1.5409292,via-287
0.765669,-22.546127,-0.147101,1.6117717,via-288
0.1203949,-21.023018,-0.1052951,1.188496,vibration-65
1.0839345,-19.008146,-0.1342141,1.5701762,via-289
1.7871289,-15.579956,-0.1010298,0.7855745,via-290
6.1269531,-11.394502,-0.1286384,1.6518023,via-291
6.0801659,-9.6523972,-0.1146151,-3.0462298,via-292
3.6950667,-9.8633299,-0.0826958,-3.0620623,gauge-11
3.6900437,-9.8578558,-0.0852211,-3.062649,gauge-12
3.4304204,-9.943944,-0.074916,0.1025603,leakage-46
3.3761439,-9.7658195,-0.1053297,-0.924203,leakage-47
5.7310843,-7.431129,-0.092035,1.4163332,via-293
3.4774926,-5.9073839,-0.0988345,0.9249592,leakage-48
2.1463809,-5.2708364,-0.0623685,-3.1126697,via-294
-6.5389419,-6.2769256,0.0315078,2.1028895,thermal-107
-6.7478294,-6.5953732,0.0262842,1.0732036,thermal-108
-6.7425361,-6.5970531,0.0248082,1.0735013,thermal-109
-6.7104855,-5.5660429,-0.1191412,-1.002219,vibration-66
-5.9428186,-5.6692514,-0.1441032,-1.8763912,vibration-67
-4.7451749,-5.2908249,-0.1725235,-1.067193,vibration-68
-4.9824958,-6.1001229,-0.0015242,-2.1139913,via-295
-7.898325,-10.970316,0.0515654,-1.9759151,via-296
-6.6190319,-10.900586,0.0082721,-3.1336224,asset-17
-6.6179342,-10.899405,0.012404,-3.1337783,asset-18
-7.8566556,-14.56995,0.02983,-1.5610378,via-297
-7.7321334,-22.524467,0.0928963,-1.5500691,via-298
-9.1069956,-22.530331,0.0954149,0.1201838,loto-7
-6.6153703,-26.136822,0.0558423,-1.0802908,loto-8
-6.8444023,-26.03326,0.0918895,0.5211399,thermal-110
-5.2697291,-25.436459,-0.0046366,-2.7226026,vibration-69
-9.499979,-26.8176,0.141636,-2.6230035,thermal-111
-7.9023557,-26.50717,0.0836237,-1.5640013,via-299
-7.8284335,-29.052614,0.1090603,3.0836518,thermal-112
-8.9674578,-31.439333,-0.0063332,-3.1291316,thermal-113
-8.9859295,-31.436735,0.0006537,-3.1283133,thermal-114
-7.9271612,-30.989412,0.1201926,0.0421908,loto-9
-6.1169477,-39.081879,0.1245267,-0.0173672,loto-10
-5.8218207,-35.60075,0.0811109,0.9309195,thermal-115
-4.2385345,-33.323654,-0.1315547,-2.106751,vibration-70
-6.976017,-36.946148,0.1247461,0.0128856,via-300
-2.2969153,-36.32394,-0.0190825,0.0021317,thermal-116
-0.5899974,-36.960594,-0.0866332,0.5134405,via-301
1.9953715,-35.400131,-0.2053574,-0.017875,via-302
1.1990921,-35.159309,-0.3260083,-0.4454185,vibration-71
6.7476573,-35.888309,-0.3058234,1.6204572,via-c2-14
5.6849623,0.8517954,-0.0915584,1.6388679,via-c2-15
