x,y,z,yaw,name
10.6654,-183.9962,0.0,1.6284,ChargeOut-final
10.10178,-177.52031,-0.1240795,-3.1019235,via-219
0.3530811,-178.12659,0.1368997,-3.050437,via-220
-0.4074843,-178.22392,0.1581321,1.6595374,thermal-57
-0.5371822,-175.27982,-0.0018443,-1.5062356,vibration-34
-2.1504362,-176.25136,0.1517073,1.7445583,via-221
-2.5788338,-167.53793,0.1233443,0.1678248,via-222
-1.2294308,-167.09853,0.0889989,1.5835141,via-223
-1.9009634,-159.16119,0.0679194,0.1019936,via-224
3.6144931,-158.7735,-0.0225423,0.0657489,thermal-58
3.5958683,-158.78079,-0.0288382,0.0665943,thermal-59
4.1690316,-163.12511,-0.039651,0.0736637,thermal-60
3.9364696,-167.13657,-0.0384021,-3.1374741,via-225
-2.713912,-167.62254,0.1277046,-1.5593692,via-226
-1.4311579,-178.29077,0.1640867,0.0625992,via-227
9.1965446,-177.55186,-0.1050863,1.5263466,via-228
11.51414,-171.11658,-0.2538182,1.5430982,via-229
11.490604,-172.33861,-0.2074113,3.1055946,thermal-61
11.183189,-172.77843,-0.1765831,-2.5331991,thermal-62
11.744621,-168.58902,-0.2422118,-3.1221368,thermal-63
11.369193,-164.53947,-0.2311773,-3.0959096,thermal-64
9.8479042,-164.54237,-0.356108,0.0644492,vibration-35
10.843227,-164.54601,-0.3760273,0.985357,via-230
11.58169,-162.25255,-0.3035366,1.5783442,via-231
10.523274,-146.21245,-0.2801363,1.6229379,via-232
8.7009869,-145.03952,-0.408408,0.0427188,leakage-41
10.595611,-144.78156,-0.5245028,1.6532691,via-233
11.0289,-143.3289,0.0,1.5431,via-c2-02.1
10.3161,-127.819,0.0,1.5431,via-c2-02.2
10.029929,-127.26084,-0.4199516,1.6418033,via-234
9.2603827,-126.38525,-0.5423604,-0.104646,vibration-36
10.225185,-126.28049,-0.5211775,-3.0583434,thermal-65
9.785553,-123.12939,-0.6221302,1.6076561,via-235
9.2862663,-122.40575,-0.5277772,0.1122467,vibration-37
10.019427,-122.5484,-0.5463629,-3.0644305,thermal-66
9.9668322,-118.66928,-0.4466653,1.5924631,via-236
9.1875887,-117.73152,-0.3675615,0.0290033,vibration-38
10.203363,-117.78571,-0.3977518,-3.1129663,thermal-67
10.196683,-117.79007,-0.3980054,-3.1154275,thermal-68
10.047088,-114.45699,-0.4548786,1.558156,via-237
9.1148777,-113.557,-0.5411721,0.0473988,vibration-39
10.07612,-113.73272,-0.5540486,-3.1002593,thermal-69
9.3094969,-111.68375,-0.4400887,1.6706759,via-238
8.2155762,-110.92741,-0.4142407,-0.545003,leakage-42
8.4673128,-108.88723,-0.4514185,1.6911025,via-239
8.7184439,-103.74015,-0.487636,1.2572342,via-240
9.3421297,-101.10881,-0.5199736,1.5538017,via-241
9.0352726,-98.319649,-0.4493158,0.84196,via-242
8.5055361,-98.933159,-0.6004417,0.8506499,leakage-43
8.8670788,-98.254166,-0.4553662,-2.1634955,thermal-70
9.0082989,-96.554184,-0.4942791,1.5699519,via-243
8.762125,-89.357224,-0.4307013,1.6026964,via-244
8.630724,-85.133316,-0.4093576,1.5788454,via-245
8.6518068,-81.533081,-0.3427609,1.6351057,via-246
8.6234865,-76.156914,-0.3707414,1.644102,thermal-71
6.7274661,-75.552238,-0.2980068,-2.3576963,thermal-72
6.7257099,-75.556816,-0.2923087,-2.3585913,thermal-73
8.4553833,-78.118179,-0.4080297,-1.4923884,via-247
8.9324179,-84.857307,-0.4103445,-1.5601512,via-248
8.5697937,-87.216339,-0.4307952,-1.5406865,via-249
9.0213184,-97.278191,-0.5144146,-1.5142423,via-250
9.4009447,-101.92318,-0.5068609,-1.5311141,via-251
7.9083586,-105.64232,-0.4658428,-3.0376234,via-252
5.5526919,-105.4539,-0.4333885,1.6581936,via-253
5.1349392,-101.9892,-0.4554782,1.6038992,via-254
