x,y,z,yaw,name
-16.079634,53.389706,0.3949353,0.0032055,via103
-14.295293,53.436035,0.374911,1.0048221,via104
-13.683352,54.368187,0.3935705,0.9163067,dry-leaked-14
-14.3093,53.3115,0.4502,0.9214,via104.1
-15.308228,52.844437,0.4207316,-0.7438679,dry-thermal-38
-16.223392488903443,54.872615833079635,0.4302805,-3.115736348230556,via105
-20.6832,54.8726,0.4502,-3.0199,via107
-22.405848,54.659859,0.45826,-3.1394737,via109
-25.472195,54.572968,0.533242,-3.125958,via110-tube
-26.354784,54.766659,0.4284801,-1.5873759,dry-leaked-18
-26.102163,54.703712,0.5209481,-0.0016474,via112
-23.35404,54.589512,0.5091032,0.1014953,via113
-20.161556,54.995094,0.484966,-0.726587,dry-vibration-35
-19.4623,54.8454,0.0,0.0493,via114
-15.972018332166328,54.920436763721796,0.442788,1.5202011,via115
