x,y,z,yaw,name
-38.362858,54.198475,0.566249,2.7965906,leakage-28
-39.62635,54.167332,0.5767405,-0.5100148,thermal-52
-39.6413,54.4258,0.5566011,0.2373693,leakage-29
-40.510506,55.037773,0.5604453,-3.090409,via-158
-42.482056,54.686817,0.6027089,-2.5004263,thermal-53
-42.89655303955078,54.51600646972656,0.0,-0.8849309086799622,via-159
-43.64155197143555,55.46459197998047,0.4744226,-0.35070371627807617,leakage-30
-43.302322,55.089813,0.6115336,0.3392125,leakage-31
-43.9508,54.617,0.0,-0.0893,via-160
-46.118377685546875,54.78211212158203,0.0,-0.0747203454375267,via-161
-46.17852,55.174355,0.5245054,-0.4787372,leakage-32
-47.511028,54.799129,0.6899981,0.1185339,leakage-33
-47.00599831215568,54.479407124994395,0.5325,-0.19118445959700692,via-162
-47.701439,54.093807,0.5325178,-2.232657,thermal-54
-48.30106,54.727764,0.6980641,-3.0904634,via-163
-51.259216,54.772121,0.7647597,-1.5229384,via-164
-51.432037,51.827133,0.6000924,0.0287477,gauge-4
-51.27552795410156,51.4399299621582,0.5997543,0.12261728197336197,gauge-5
-51.243778,50.703701,0.7349684,-1.5618969,loto-1
-51.282673,50.674232,0.7432803,-1.0852611,asset-12
-51.288567,50.674488,0.7469607,-1.0876161,asset-13
-51.236,49.3475,0.6813,0.0933,via-165
-48.911888,49.588066,0.6450177,0.0140386,via-166
-48.196686,49.875,0.4807932,0.7559909,leakage-34
-46.425259,49.804192,0.6163823,0.0755876,via-167
-45.9513,50.377,0.46,0.8968,thermal-55
-45.025406,49.732956,0.5918859,-0.0344864,via-168
-43.147816,49.869442,0.5587955,0.0421645,via-169
-43.387093,50.164749,0.4157904,0.852257,leakage-35
-41.81176,49.961441,0.5459118,0.0917749,via-170
-41.430256,50.384724,0.4149978,1.2338318,gauge-6
-41.394924,50.504532,0.4497579,1.8919803,leakage-36
-41.89492,50.616405,0.5755,-1.7731626,loto-2
-40.58165,50.149452,0.5369219,0.0571871,via-171
-37.101032,50.402496,0.5096499,0.0254733,via-172
-37.365452,50.517948,0.3930624,1.2539215,gauge-7
-35.862663,51.179226,0.3489506,0.1312876,via-173
-35.748615,51.225288,0.3698326,1.3796055,leakage-37
-34.529049,51.597248,0.4938631,1.6452252,via-174
-34.752732,53.941788,0.3710437,-1.6090338,asset-14
