x,y,z,yaw,name
-38.364166259765625,52.31901550292969,4.4947724,-2.7,via-143-gauge8
-38.364166259765625,52.31901550292969,4.4947724,-2.7,gauge-8
-39.305267,54.937073,4.4956322,3.1350436,via-144
-41.96918570493635,54.544332415501124,4.5327773,-3.099113,via-145
-42.554188,53.508581,4.3726192,0.0309834,via-144-gauge9
-42.554188,53.508581,4.3726192,0.0309834,gauge-9
-42.961666,54.913357,4.5341334,-3.0545094,via-146
-51.764523,54.328831,4.6819549,1.6067185,via-148
-51.9314,53.8618,4.6937,1.6685,via-150-gauge10
-51.9314,53.8618,4.6937,1.6685,gauge-10
-50.303379,54.437096,4.6749635,0.0502983,via-149
-41.26857,54.992611,4.5319276,0.0530088,via-150
-37.6466,54.8981,4.4884,-2.4493,via-151
