x,y,z,yaw,name
10.6654,-183.9962,0.0,1.6284,ChargeOut-final
10.1018,-177.5203,0.0,1.5431,via-c2-00
10.4051,-174.1164,0.0,1.1989,via-c2-01
11.5141,-171.1166,0.0,1.5431,via-c2-02
11.0289,-143.3289,0.0,1.5431,via-c2-02.1
10.3161,-127.819,0.0,1.5431,via-c2-02.2
9.3095,-111.6838,0.0,1.6707,via-c2-03
8.6727,-105.9162,0.0,-3.0376,via-c2-04
-6.0117,-105.6715,0.0,2.274,via-c2-05
-7.0457,-104.2334,0.0,1.6279,via-c2-06
-7.5113,-92.5256,0.0,1.5779,via-c2-07
-8.0443,-69.5611,0.0,1.576,via-c2-08
-7.7571,-66.1873,0.0,0.92585,via-c2-09
-6.7455,-64.3882,0.0,1.521,via-c2-10
-6.5774,-62.136,0.0,0.0636,via-c2-11
4.7218785,-61.335865,-0.289195,1.6388679,via-c2-12
3.9580486,-35.965324,-0.2599079,-0.0124053,via-c2-13
6.7476573,-35.888309,-0.3058234,1.6204572,via-c2-14
5.6849623,0.8517954,-0.0915584,1.6388679,via-c2-15
-14.0123,0.3758,0.2255958,1.5851729,via-84
-14.767163,21.561161,0.5049494,0.25745,via-85
-9.5533056,22.677908,0.4577811,1.6254547,via-86
-9.86276,25.107012,0.432479,2.4641094,via-87
-18.4665,26.5342,0.5575209,1.5544144,via-88
-18.5123,31.4366,0.5907702,0.7118617,via-89
-10.862,35.533825,0.5333738,1.468215,via-90
-10.053919,42.30043,0.5778924,1.6486552,via-91-shuttle01-open
-10.403989,45.437153,0.6244386,1.6041919,via-92-shuttle01-close
-8.0908022,48.893063,0.6138956,0.07827895742988168,via-93
2.9392517,49.508862,0.5460632,1.4734558,via-94
2.9783154,56.953354,0.4911753,1.5904567,via-95-shuttle02-open
2.6510377,60.726715,0.4996813,1.5877907,via-96-shuttle02-close
1.9946015,70.897369,0.5314655,-3.1017516,via-97-shuttle03-open
-4.391118,70.903801,0.4062418,-3.1358483,via-98-shuttle03-close
-4.0940075,68.838539,0.3927332,-1.4641359,via-99
-3.9819322,63.452221,0.3635726,3.134217,via-100
-10.548726,63.189972,0.3637781,-3.1354418,via-101
-16.195604,63.071499,0.3743068,-1.5140579,via-102
-16.047958,61.692738,0.4088,-3.1378167,via-130
-21.9204,61.1164,0.4518,-3.0751,via-131
-26.8337,60.791,0.5015,-3.114,via-132
-28.775692775758785,62.61524742288759,0.4906,-3.1185,via-133
-35.71238718353759,62.207206575371174,0.5301,3.1388,via-134
