x,y,z,yaw,name
-11.137162,30.144714,0.533696,1.0875722,wet3_via_cross
-7.3127484,40.497932,0.4352168,1.247395,wet3_via1
-5.7567754,43.26355,0.4632692,-0.0041943,wet3_via2
2.9786067,43.444347,0.6115892,0.0928778,wet3_via3
3.3421152,43.028675,0.4710835,-0.9040049,wet3_acoustic_low_vibration15
2.1071346,43.57563,0.4758864,2.4825864,wet3_visual_thermal14
0.887773,43.021057,0.4705446,-1.4976051,wet3_visual_asset07_1_XXX
0.8700372,43.009998,0.4671752,-1.4981976,wet3_visual_asset07
0.874747,43.007252,0.4788839,-1.4977661,wet3_visual_asset08
0.8618681,43.018806,0.4759678,-1.496747,wet3_visual_asset09
0.8716145,43.016319,0.4789332,-1.4970835,wet3_visual_asset10
3.5034864,43.066513,0.4618608,-1.6785476,wet3_visual_loto03
-2.8803084,43.395767,0.4421576,-1.475399,wet3_visual_asset04
-2.8813579,43.34811,0.4273643,-1.4648982,wet3_acoustic_low_vibration16
-1.770226,43.389175,0.4451066,-1.5150769,wet3_visual_loto05
-2.7267749,43.696571,0.4510138,1.675913,wet3_visual_thermal15
-6.5703382,43.340057,0.5902681,-1.9852867,wet3_via
-7.2181802,39.325047,0.5278924,-1.1226485,wet3_acoustic_vibration17
-7.2011728,39.294468,0.5425724,-1.1717896,wet3_visual_thermal16
-8.01653,36.063934,0.3887359,-0.2180721,wet3_acoustic_low_vibration18
-8.1194572,36.058762,0.3906582,2.7622404,wet3_visual_thermal17
-9.6887836,33.338619,0.5217622,-1.8771856,wet3_via_grid
-9.6813316,30.159498,0.5257227,-0.0419975,wet3_via3
-1.5857267,30.232891,0.4288053,-1.4857801,wet3_via4
-2.9207416,28.23509,0.2859845,-2.7405007,wet3_acoustic_low_vibration19
-0.8443655,28.32114,0.2758463,-0.2889824,wet3_acoustic_low_vibration20
-0.9507942,28.354744,0.2828946,2.8561022,wet3_visual_thermal18
-0.9548466,25.487122,0.2172629,-0.5111539,wet3_acoustic_low_vibration21
-1.0196624,23.146187,0.2512741,-1.809836,wet3_visual_thermal19
-0.9894442,23.166357,0.2455376,-1.8059661,wet3_acoustic_low_vibration22
-1.8859442,24.836245,0.2369233,2.2642181,wet3_acoustic_leaked10
-1.5878123,25.104223,0.2754695,0.6789338,wet3_acoustic_leaked11
-1.2998437,17.550392,0.239307,-2.8714228,wet3_acoustic_low_vibration23
-1.3427622,17.553335,0.2405145,0.299584,wet3_visual_thermal20
0.9313152,14.498198,0.1817911,0.63557,wet3_acoustic_vibration24
0.3616207,14.167844,0.1950657,-2.5277789,wet3_visual_thermal21
-0.9565352,13.039284,0.1633265,2.820272,wet3_acoustic_low_vibration25
-1.0535244,13.153298,0.1366876,-0.4652918,wet3_visual_thermal22
4.8399811,13.255362,0.1062951,2.6765356,wet3_acoustic_low_vibration26
4.9618268,13.397751,0.1067871,-0.4171286,wet3_visual_thermal23
4.4098229,16.71567,0.1327694,2.6510224,wet3_acoustic_low_vibration27
4.531745,17.024677,0.1589667,-0.3004159,wet3_visual_thermal24
4.9770212,18.382355,0.3143837,2.8441877,wet3_acoustic_vibration28
4.9958,18.384459,0.1827356,2.8434327,wet3_visual_thermal25
-9.6870098,0.3138621,0.0020276,1.0888906,wet3_acoustic_leaked12
-9.6871271,0.312801,0.0017274,1.0888215,wet3_acoustic_leaked12
-12.821494,17.323545,0.3103161,3.098474,wet3_visual_thermal26
