x,y,z,yaw,name
0.2515048,1.4223764,-0.3786484,-1.605058,Test
0.2551504,1.4189286,-0.3679448,-1.6060563,Test
50.555882,-35.047581,-0.3354031,1.6298438,Charge
48.30196,-34.718113,-0.2986053,1.5305378,Via1
48.742718,-22.829473,-0.2554983,1.5760626,Via2
48.162987,0.6743244,-0.1724742,-3.1187027,Via4_shuttle5
41.993019,0.7130885,-0.2055606,-3.1347756,Via5
39.185009,2.7049181,-0.2198525,3.0941052,Via6
34.300705,2.7086339,-0.1777384,1.561229,Via7
33.243088,14.616323,-0.1258579,1.7033162,Via8
39.690624,16.777454,-0.1822516,1.465376,Via9
37.366737,21.735645,-0.144765,-1.6149495,wet12_visual_loto1
30.714123,21.988327,-0.0906126,-3.0561311,Via10
29.984823,20.290472,-0.1210949,1.5430728,wet12_acoustic_leaked01
29.468309,22.205622,-0.1078571,-3.1188028,Via11
25.600002,21.736094,-0.0426198,-0.6247373,Via12
24.092157,18.964699,-0.2608248,-0.7266522,wet12_acoustic_vibration01
24.264641,19.17647,-0.1963709,-0.8044887,wet12_acoustic_leaked02
26.859806,21.933071,-0.1730972,0.0164543,via
39.710522,20.941399,-0.1552577,3.1305497,wet12_visual_asset01
40.156975,19.624393,-0.1647701,0.0137106,wet12_visual_loto2
40.066177,16.342485,-0.1286952,-3.096916,via
32.174282,14.136294,-0.1055275,2.0084007,wet12_acoustic_leaked03
26.533182,14.554687,-0.0555927,-1.5307859,via
26.939074,10.623122,-0.2472663,0.5547706,wet12_acoustic_leaked04
26.857214,10.688499,-0.2582541,-0.5659624,wet12_acoustic_leaked05
26.520811,14.584442,-0.0768129,-3.076448,via
18.526659,14.02896,-0.1693342,1.2865577,wet12_acoustic_vibration02
18.207493,20.320532,-0.1445749,1.1512572,wet12_acoustic_vibration03
18.043524,20.124128,-0.1346969,0.8033966,wet12_acoustic_leaked06
18.466866,19.639202,-0.1248975,2.6384246,wet12_acoustic_vibration04
18.447367,19.68189,-0.1193773,-2.5315042,wet12_acoustic_vibration05
18.115532,23.375629,-0.1159175,-1.8419771,wet12_visual_thermal01
20.35569,25.931192,-0.1533477,-2.6120558,wet12_visual_thermal02
20.503923,25.807867,-0.1607722,-0.0127503,wet12_acoustic_vibration06
