x,y,z,yaw,name
41.83852,-16.159822,-0.2800744,-0.0763338,ChargeOut
42.040424,-2.4565096,-0.2638025,1.6052006,via-h2-00
42.082191,3.0155897,-0.1809712,-3.0645533,via-h2-01
36.154926,2.6156983,-0.1384768,-3.1348433,via-h2-02
34.300705,2.7086339,-0.1777384,1.561229,via1
33.243088,14.616323,-0.1258579,1.7033162,via2
39.690624,16.777454,-0.1822516,1.465376,via3
39.3432465,22.8556862,0.0,-3.0941467,via4
37.366737,21.735645,-0.144765,-1.6149495,via5-loto01-crawl
37.366737,21.735645,-0.144765,-1.6149495,wet12-visual-loto01
35.3432465,22.5556862,0.0,-3.0941467,via6
30.714123,21.988327,-0.0906126,-3.0561311,via7
29.984823,20.290472,-0.1210949,1.5430728,via8-leaked01-crawl
29.984823,20.290472,-0.1210949,1.5430728,wet12-acoustic-leaked01
29.468309,22.205622,-0.1078571,-3.1188028,via9
25.600002,21.736094,-0.0426198,-0.6247373,via10
25.398769378662113,20.059717178344727,0.0,-1.4682677,via11
24.092157,18.964699,-0.2608248,-0.7266522,via12-vibration01-crawl
24.092157,18.964699,-0.2608248,-0.7266522,wet12-acoustic-vibration01
24.092157,18.964699,-0.2608248,-0.7266522,wet12-visual-thermal01
24.264641,19.17647,-0.1963709,-0.8044887,wet12-acoustic-leaked02
26.859806,21.933071,-0.1730972,0.0164543,via13
39.0432465,22.8556862,-0.1730972,0.0164543,via14
39.710522,20.941399,-0.1552577,3.1305497,via15-asset01-crawl
39.710522,20.941399,-0.1552577,3.1305497,wet12-visual-asset01
40.156975,19.624393,-0.1647701,0.0137106,via16-loto02-crawl
40.156975,19.624393,-0.1647701,0.0137106,wet12-visual-loto02
40.066177,16.342485,-0.1286952,-3.096916,via17
32.174282,14.136294,-0.1055275,2.0084007,via18-leaked03-crawl
32.174282,14.136294,-0.1055275,2.0084007,wet12-acoustic-leaked03
26.533182,14.554687,-0.0555927,-1.5307859,via19
26.939074,10.623122,-0.2472663,0.5547706,wet12-acoustic-leaked04
26.857214,10.688499,-0.2582541,-0.5659624,wet12-acoustic-leaked05
26.520811,14.584442,-0.0768129,-3.076448,via20
18.526659,14.02896,-0.1693342,1.2865577,wet12-acoustic-vibration02
18.526659,14.02896,-0.1693342,1.2865577,wet12-visual-thermal02
18.207493,20.320532,-0.1445749,1.1512572,wet12-acoustic-vibration03
18.207493,20.320532,-0.1445749,1.1512572,wet12-visual-thermal03
18.043524,20.124128,-0.1346969,0.8033966,wet12-acoustic-leaked06
18.466866,19.639202,-0.1248975,2.6384246,wet12-acoustic-vibration04
18.466866,19.639202,-0.1248975,2.6384246,wet12-visual-thermal04
18.447367,19.68189,-0.1193773,-2.5315042,wet12-acoustic-vibration05
18.447367,19.68189,-0.1193773,-2.5315042,wet12-visual-thermal05
18.515532,24.375629,-0.1159175,-1.8419771,wet12-visual-thermal06
20.35569,25.931192,-0.1533477,-2.6120558,via21-thermal07-crawl
20.35569,25.931192,-0.1533477,-2.6120558,wet12-visual-thermal07
20.503923,25.807867,-0.1607722,-0.0127503,wet12-acoustic-vibration06
20.503923,25.807867,-0.1607722,-0.0127503,wet12-visual-thermal08
18.5,25.0,-0.3544827,-1.4682677,via22
18.2,22.6,-0.3544827,-1.4682677,via23
18.95,13.6,-0.3508418,3.0941052,via24
11.4,13.35,-0.3508418,1.561229,via25
11.979921,14.752563,0.1314536,1.1148465,wet12-acoustic-vibration07
11.979921,14.752563,0.1314536,1.1148465,wet12-visual-thermal09
11.966109,14.755215,0.1422404,1.1200296,wet12-visual-thermal10
11.966109,14.755215,0.1422404,1.1200296,wet12-visual-thermal11
13.55,13.15,-0.3508418,-0.6247373,via26
21.8,13.7,-0.3508418,-0.0474875,via27
32.95,14.5,-0.3508418,-1.5804,via28
34.4,11.35,-0.102748,-1.4682677,via29
34.556435,2.6301529,-0.1115824,0.032559,via-2h-x0
42.169067,3.0902092,-0.1450856,-1.5989308,via-2h-x1
41.834301,-2.5242805,-0.270077,-1.5337039,via-2h-x2
42.1847,-13.5566,-0.3063831,-1.5708,via-2h-x3
41.83852,-16.159822,-0.2800744,-0.0763338,ChargeIn
