x,y,z,yaw,name
41.83852,-16.159822,-0.2800744,-0.0763338,ChargeOut
42.040424,-2.4565096,-0.2638025,1.6052006,via-h2-00
42.082191,3.0155897,-0.1809712,-3.0645533,via-h2-01
36.154926,2.6156983,-0.1384768,-3.1348433,via-h2-02
-3.3755,0.8776,-0.1777384,-3.1227,via44
-2.9613,9.4465,-0.1258579,1.5035,via45
-1.0608,10.8443,-0.1258579,1.5035,via46
5.9153,11.016,-0.1,1.5634,via47
6.0,12.45,-0.1,3.0941052,via48
4.449935,17.619125,0.3482006,-3.0375137,via49_asset03_crawl
4.449935,17.619125,0.3482006,-3.0375137,wet3-visual-asset03
4.4464355,17.607769,0.3359734,-3.0477862,wet3-visual-asset04
6.148859,17.910826,0.3093556,1.5389619,via50
5.7825189,22.337084,0.3178575,2.0745399,via51
4.9305201,23.945734,0.34688,1.4620879,via52
4.8850589,24.011314,0.2044623,-1.5723331,wet3-acoustic-vibration10-low
4.9082274,25.04578,0.1940839,1.616161,via53_thermal14_crawl
4.9082274,25.04578,0.1940839,1.616161,wet3-visual-thermal14
2.9150643,28.176798,0.2577277,3.1412046,wet3-visual-asset05
4.7534337,28.230288,0.2605198,1.5279227,via54
3.5683832,30.602427,0.2988758,-3.0753183,wet3-visual-asset06
2.3923049,30.602251,0.4574344,-2.4024913,via55_vibration10_crawl
2.3923049,30.602251,0.4574344,-2.4024913,wet3-acoustic-vibration11
-1.4553343,30.464483,0.3137213,2.90205,wet3-visual-thermal15-crawl
-1.4553343,30.464483,0.3137213,2.90205,wet3-visual-thermal16
-2.0628943,30.503517,0.4611766,0.6106698,wet3-acoustic-vibration12
-2.0675142,30.502563,0.4622208,0.6132057,wet3-visual-thermal17
-2.2143152,30.062935,0.424179,-0.4307069,wet3-visual-thermal18
-3.4026756,30.314159,0.4576479,-2.3766174,wet3-acoustic-vibration13
-3.4234641,30.270422,0.4657915,-2.3791647,wet3-visual-thermal19
-4.5855026,30.247406,0.3328584,1.5945193,wet3-acoustic-vibration14-low
-4.5869765,30.241035,0.3347298,1.5959737,wet3-visual-thermal20
-4.5869765,30.241035,0.3347298,1.5959737,wet3-visual-thermal21
-2.5821216,31.191517,0.3101618,0.7656489,wet3-acoustic-leaked08
-3.0288084,33.182327,0.2880537,2.890955,wet3-acoustic-leaked09
-2.8702424,33.359177,0.2985974,0.4842088,wet3-visual-thermal22
-2.5227215,33.538387,0.2960793,-2.5542173,wet3-acoustic-leaked10
-2.95,29.85,-0.1,3.0941052,via56
-8.1,30.5,-0.1,3.0941052,via57
-11.137162,30.144714,0.533696,1.0875722,via58
-7.3127484,40.497932,0.4352168,1.247395,via59
-5.7567754,43.26355,0.4632692,-0.0041943,via60
2.9786067,43.444347,0.6115892,0.0928778,via61
3.3421152,43.028675,0.4710835,-0.9040049,wet3-acoustic-vibration15-low
2.1071346,43.57563,0.4758864,2.4825864,wet3-visual-thermal23
0.8700372,43.009998,0.4671752,-1.4981976,wet3-visual-asset07
0.874747,43.007252,0.4788839,-1.4977661,wet3-visual-asset08
0.8618681,43.018806,0.4759678,-1.496747,wet3-visual-asset09
0.8716145,43.016319,0.4789332,-1.4970835,wet3-visual-asset10
