Total Waypoints to check: 57
------------------------------------------------------------
Waypoint                       | Image File                               | Status
----------------------------------------------------------------------------------------------------
dry-leaked-14                  | IMG_5573-leaked-14.png                   | OK
dry-thermal-37                 | IMG_5574-thermal-37.png                  | OK
dry-vibration-29               | IMG_5575-vibration-29.png                | OK
dry-thermal-38                 | IMG_5577-thermal-38.png                  | OK
dry-leaked-15                  | IMG_5576-leaked15.png                    | !!! SEQUENCE ERROR: IMG_5576 is smaller than previous IMG_5577
dry-vibration-30               | IMG_5577-vibration-30.png                | OK
dry-vibration-31               | IMG_5578-vibration-31.png                | OK
dry-leaked-16                  | IMG_5579-leaked-16.png                   | OK
dry-thermal-39                 | IMG_5580-thermal-39.png                  | OK
dry-thermal-40                 | IMG_5581-thermal-40.png                  | OK
dry-vibration-32               | IMG_5582-vibration-32.png                | OK
dry-leaked-17                  | IMG_5583-leaked-17.png                   | OK
dry-leaked-18                  | IMG_5584-leaked-18.png                   | OK
dry-vibration-33               | IMG_5585-vibration-33.png                | OK
dry-leaked-19                  | IMG_5586-leaked-19.png                   | OK
dry-vibration-34low            | IMG_5587-vibration-34low.png             | OK
dry-thermal-41                 | IMG_5587--thermal-41.png                 | OK
dry-leaked-20                  | IMG_5588-leaked-20.png                   | OK
dry-leaked-21-low              | IMG_5589-leaked-21-low.png               | OK
dry-leaked-22                  | IMG_5590-leaked-22.png                   | OK
dry-leaked-23                  | IMG_5591-leaked-23.png                   | OK
dry-leaked-24                  | IMG_5592-leaked-24.png                   | OK
dry-vibration-35low            | IMG_5593-vibration-35low.png             | OK
dry-leaked-25low               | IMG_5594-leaked-25low.png                | OK
dry-thermal-42                 | IMG_5595-thermal-42.png                  | OK
dry-loto-06                    | MISSING IMAGE                            | OK
dry-leaked-26                  | IMG_5596-leaked-26.png                   | OK
dry-thermal-43                 | IMG_5597-thermal-43.png                  | OK
dry-vibration-36low            | IMG_5598-vibration-36low.png             | OK
dry-vibration-37               | MISSING IMAGE                            | OK
dry3-leaked-27                 | IMG_5600-leaked-27.png                   | OK
dry3-leaked-28                 | IMG_5601-leaked-28.png                   | OK
dry3-leaked-29                 | IMG_5602-leaked-29.png                   | OK
dry3-leaked-30                 | IMG_5603-leaked-30.png                   | OK
dry3-leaked-31                 | IMG_5604-leaked-31.png                   | OK
dry3-vibration-38low           | IMG_5605-vibration-38low.png             | OK
dry3-thermal-44                | IMG_5606-thermal-44.png                  | OK
dry3-leaked-32                 | IMG_5608-leaked-32.png                   | OK
dry3-leaked-33                 | IMG_5609-leaked-33.png                   | OK
dry3-leaked-34                 | IMG_5610-leaked-34.png                   | OK
dry3-leaked-35                 | IMG_5611-leaked-35.png                   | OK
dry3-vibration-39low           | IMG_5611-dummy-vibration-39low.png       | OK
dry3-thermal-45                | IMG_5611-dummy-thermal-45.png            | OK
dry3-vibration-40low           | IMG_5612-vibration-40low.png             | OK
dry3-thermal-46                | IMG_5613-thermal-46.png                  | OK
dry3-vibration-41low           | IMG_5614-vibration-41low.png             | OK
dry3-thermal-47                | IMG_5615-thermal-47.png                  | OK
dry3-loto-07                   | IMG_5616-loto-07.png                     | OK
dry3-loto-08                   | IMG_5617-loto-08.png                     | OK
dry3-loto-09                   | IMG_5618-loto-09.png                     | OK
dry3-loto-10                   | IMG_5620-loto-10.png                     | OK
dry3-leaked-36                 | IMG_5621-leaked-36.png                   | OK
dry3-gauge-01                  | IMG_5621-gauge-01.png                    | OK
dry3-gauge-02                  | IMG_5622-gauge-02.png                    | OK
dry3-leaked-37                 | IMG_5623-leaked-37.png                   | OK
dry3-loto-11                   | IMG_5624-loto-11.png                     | OK
dry3-loto-12                   | IMG_5625-loto-12.png                     | OK
